1,0,14,-9,-7,1,-574,366,207,12964,-3536,-1179,-15427,2986,0,0,0
2,500,14,-8,-9,1,-583,291,291,13553,-2357,-1768,-15773,1650,0,0,0
3,1000,14,-6,-11,1,-576,211,363,13553,-1179,-1768,-15641,462,0,0,0
4,1500,14,-3,-12,1,-554,125,427,13553,0,-589,-15014,-561,0,0,0
5,2000,12,1,-14,1,-518,32,484,11196,589,-589,-13892,-1452,0,0,0
6,2500,10,3,-15,1,-469,-61,530,8839,1179,-1179,-12341,-2178,0,0,0
7,3000,9,5,-15,1,-412,-150,560,7071,1768,-589,-10477,-2722,0,0,0
8,3500,7,7,-16,1,-343,-235,577,5303,1768,-1179,-8299,-3036,0,0,0
9,4000,6,9,-17,1,-266,-316,582,3536,2357,-1179,-5791,-3135,0,0,0
10,4500,4,11,-17,1,-185,-385,571,1179,2357,-1179,-3118,-3003,0,0,0
11,5000,1,13,-15,1,-98,-445,543,-1768,1768,-589,-264,-2640,0,0,0
12,5500,-1,14,-14,1,-3,-499,502,-4125,1179,-589,2838,-2013,0,0,0
13,6000,-4,14,-13,1,90,-541,450,-8250,0,-1768,5890,-1204,0,0,0
14,6500,-6,15,-11,1,177,-568,389,-10607,-1179,-1179,8778,-264,0,0,0
15,7000,-8,16,-9,1,261,-580,317,-14731,-1179,-589,12968,-429,0,0,0
16,7500,-10,16,-7,1,341,-579,238,-18267,-589,-589,16829,-528,0,0,0
17,8000,-12,16,-5,1,409,-563,154,-20624,0,-589,20145,-627,0,0,0
18,8500,-13,14,-2,1,467,-531,64,-23570,1179,-589,23066,-759,0,0,0
19,9000,-14,12,1,1,514,-486,-29,-25338,589,-589,25475,-825,0,0,0
20,9500,-15,10,3,1,550,-430,-119,-26517,0,-1179,27257,-858,0,0,0
21,10000,-15,9,5,1,574,-367,-207,-27695,589,-589,28362,-841,0,0,0
22,10500,-15,7,7,1,583,-292,-290,-28284,589,-589,28791,-825,0,0,0
23,11000,-16,5,9,1,576,-211,-363,-28874,589,-1179,28494,-775,0,0,0
24,11500,-15,3,11,1,554,-125,-428,-27106,589,-589,27405,-759,0,0,0
25,12000,-13,1,12,1,518,-32,-485,-24749,1179,0,25590,-759,0,0,0
26,12500,-11,-3,13,1,469,60,-529,-21802,589,-589,23181,-709,0,0,0
27,13000,-9,-5,13,1,411,148,-559,-18267,589,-589,20310,-610,0,0,0
28,13500,-8,-8,14,1,344,234,-578,-15321,589,-1179,16945,-495,0,0,0
29,14000,-7,-10,15,1,266,316,-584,-12374,0,-1179,13133,-412,0,0,0
30,14500,-4,-11,15,1,185,385,-572,-8839,589,0,9091,-231,0,0,0
